PMT x y 
0 -12.345668451390225 46.074661913988564 
1 -4.157328929063286 47.518487098976266 
2 4.157328929063294 47.518487098976259 
3 12.345668451390232 46.074661913988557 
4 20.158891085031385 43.230881441648194 
5 27.359596013944909 39.073552512584904 
6 33.728993462598353 33.728993462598289 
7 39.073552512584904 27.359596013944902 
8 43.230881441648222 20.158891085031343 
9 46.074661913988564 12.345668451390226 
10 47.518487098976266 4.157328929063288 
11 47.518487098976259 -4.157328929063292 
12 46.074661913988550 -12.345668451390271 
13 43.230881441648194 -20.158891085031378 
14 39.073552512584889 -27.359596013944923 
15 33.728993462598318 -33.728993462598318 
16 27.359596013944891 -39.073552512584911 
17 20.158891085031346 -43.230881441648222 
18 12.345668451390230 -46.074661913988564 
19 4.157328929063292 -47.518487098976266 
20 -4.157328929063310 -47.518487098976259 
21 -12.345668451390264 -46.074661913988557 
22 -20.158891085031378 -43.230881441648194 
23 -27.359596013944902 -39.073552512584911 
24 -33.728993462598325 -33.728993462598304 
25 -39.073552512584918 -27.359596013944888 
26 -43.230881441648208 -20.158891085031357 
27 -46.074661913988564 -12.345668451390232 
28 -47.518487098976266 -4.157328929063286 
29 -47.518487098976259 4.157328929063306 
30 -46.074661913988557 12.345668451390251 
31 -43.230881441648201 20.158891085031371 
32 -39.073552512584904 27.359596013944902 
33 -33.728993462598311 33.728993462598318 
34 -27.359596013944895 39.073552512584911 
35 -20.158891085031357 43.230881441648208 
36 -10.288057042825152 38.395551594990479 
37 -2.080354260657026 39.695524006494317 
38 6.218269985349179 39.260611538656725 
39 14.245125994425699 37.109821953263769 
40 21.649401641847319 33.337155075830609 
41 28.107494552165267 28.107494552165264 
42 33.337155075830609 21.649401641847316 
43 37.109821953263783 14.245125994425663 
44 39.260611538656732 6.218269985349142 
45 39.695524006494303 -2.080354260657028 
46 38.395551594990451 -10.288057042825226 
47 35.417509336487612 -18.046122364647005 
48 30.891551967914587 -25.015485544231051 
49 25.015485544231034 -30.891551967914602 
50 18.046122364646969 -35.417509336487633 
51 10.288057042825173 -38.395551594990472 
52 2.080354260657014 -39.695524006494317 
53 -6.218269985349176 -39.260611538656725 
54 -14.245125994425695 -37.109821953263769 
55 -21.649401641847341 -33.337155075830594 
56 -28.107494552165271 -28.107494552165253 
57 -33.337155075830609 -21.649401641847319 
58 -37.109821953263776 -14.245125994425678 
59 -39.260611538656725 -6.218269985349172 
60 -39.695524006494303 2.080354260657023 
61 -38.395551594990465 10.288057042825208 
62 -35.417509336487619 18.046122364646990 
63 -30.891551967914587 25.015485544231041 
64 -25.015485544231034 30.891551967914602 
65 -18.046122364646980 35.417509336487633 
66 -8.230445634260150 30.716441275992377 
67 0.000000000000031 31.800000000000001 
68 8.230445634260182 30.716441275992366 
69 15.900000000000009 27.539607840345141 
70 22.485995641732213 22.485995641732213 
71 27.539607840345159 15.899999999999984 
72 30.716441275992374 8.230445634260152 
73 31.800000000000001 0.000000000000000 
74 30.716441275992366 -8.230445634260182 
75 27.539607840345138 -15.900000000000020 
76 22.485995641732202 -22.485995641732224 
77 15.899999999999999 -27.539607840345152 
78 8.230445634260153 -30.716441275992374 
79 -0.000000000000013 -31.800000000000001 
80 -8.230445634260162 -30.716441275992374 
81 -15.900000000000006 -27.539607840345145 
82 -22.485995641732217 -22.485995641732202 
83 -27.539607840345152 -15.899999999999993 
84 -30.716441275992374 -8.230445634260155 
85 -31.800000000000001 0.000000000000004 
86 -30.716441275992370 8.230445634260168 
87 -27.539607840345145 15.900000000000006 
88 -22.485995641732210 22.485995641732217 
89 -15.899999999999997 27.539607840345152 
90 -6.172834225695112 23.037330956994282 
91 2.078664464531647 23.759243549488129 
92 10.079445542515693 21.615440720824097 
93 16.864496731299177 16.864496731299145 
94 21.615440720824111 10.079445542515671 
95 23.759243549488133 2.078664464531644 
96 23.037330956994275 -6.172834225695135 
97 19.536776256292445 -13.679798006972462 
98 13.679798006972446 -19.536776256292455 
99 6.172834225695115 -23.037330956994282 
100 -2.078664464531655 -23.759243549488129 
101 -10.079445542515689 -21.615440720824097 
102 -16.864496731299162 -16.864496731299152 
103 -21.615440720824104 -10.079445542515678 
104 -23.759243549488133 -2.078664464531643 
105 -23.037330956994278 6.172834225695126 
106 -19.536776256292452 13.679798006972451 
107 -13.679798006972447 19.536776256292455 
108 -4.115222817130075 15.358220637996189 
109 4.115222817130091 15.358220637996183 
110 11.242997820866107 11.242997820866107 
111 15.358220637996187 4.115222817130076 
112 15.358220637996183 -4.115222817130091 
113 11.242997820866101 -11.242997820866112 
114 4.115222817130077 -15.358220637996187 
115 -4.115222817130081 -15.358220637996187 
116 -11.242997820866108 -11.242997820866101 
117 -15.358220637996187 -4.115222817130078 
118 -15.358220637996185 4.115222817130084 
119 -11.242997820866105 11.242997820866108 
120 -2.057611408565037 7.679110318998094 
121 5.621498910433053 5.621498910433053 
122 7.679110318998092 -2.057611408565045 
123 2.057611408565038 -7.679110318998093 
124 -5.621498910433054 -5.621498910433051 
125 -7.679110318998092 2.057611408565042 
126 0.000000000000000 0.000000000000000 
127 -30.689924073888996 32.282016051339312 
128 -23.298887813798700 35.343483510260029 
129 -15.907851553708406 38.404950969180746 
130 -8.516815293618112 41.466418428101463 
131 -1.125779033527818 44.527885887022180 
132 -39.125169871739701 21.288989701428100 
133 -31.734133611649405 24.350457160348821 
134 -24.343097351559109 27.411924619269541 
135 -16.952061091468817 30.473392078190258 
136 -9.561024831378525 33.534859537110975 
137 -2.169988571288231 36.596326996031692 
138 5.221047688802065 39.657794454952409 
