1;176;7.0224e-06;108.026;(16.536,92.7873,-485)
2;157;7.06132e-06;120.639;(185.736,311.441,-485)
3;147;7.06132e-06;120.883;(153.779,347.913,-493.841)
4;245;7.12404e-06;83.2646;(184.099,-412.783,-495.038)
5;87;7.09134e-06;79.3798;(-262.019,134.671,480)
6;181;7.02405e-06;43.6397;(376.623,268.431,-485)
7;163;7.09813e-06;34.8065;(-124.423,73.608,-485)
8;192;7.02575e-06;153.335;(392.786,165.091,-485)
9;181;7.02575e-06;153.505;(378.294,194.327,-493.726)
10;170;7.09548e-06;61.5335;(-420.758,-75.8087,-485)
11;220;7.01842e-06;41.7866;(32.4515,-176.974,-485)
12;129;7.07793e-06;39.6309;(-131.994,390.007,-485)
13;167;7.1147e-06;52.6037;(188.299,187.185,-483.388)
14;172;7.1147e-06;84.7628;(-272.325,-7.81746,-485)
15;188;7.12546e-06;121.666;(94.2106,1.18678,-485)
16;187;7.12546e-06;121.949;(38.0846,1.08352,-491.78)
17;246;7.1203e-06;36.3382;(195.788,-361.663,-494.512)
18;201;7.10044e-06;69.7631;(238.792,21.1395,-485)
19;136;7.02946e-06;58.5883;(-132.142,331.615,-485)
20;135;7.02946e-06;58.6336;(-137.269,325.018,-489.692)
21;167;7.02116e-06;38.5655;(169.481,218.09,-485)
22;157;7.02116e-06;38.8227;(158.91,266.895,-496.01)
23;29;7.07614e-06;67.9086;(-466.976,4.76461,480)
24;242;7.0357e-06;30.8832;(413.236,-218.441,-485)
25;175;7.03561e-06;79.5245;(-85.2837,50.5351,-485)
26;214;7.09357e-06;73.1157;(330.623,16.9591,-485)
27;202;7.09357e-06;73.2074;(321.929,33.0173,-489.504)
28;148;7.11192e-06;63.9904;(189.148,416.589,-496.046)
29;202;7.06609e-06;41.5549;(263.595,55.5338,-485)
30;246;7.12202e-06;32.053;(228.524,-335.214,-485)
31;238;7.0482e-06;105.993;(96.3397,-373.442,-482.117)
32;242;7.0482e-06;124.758;(405.513,-213.266,-485)
33;193;7.0789e-06;49.5412;(-354.339,-239.69,-485)
34;171;7.11067e-06;65.8387;(-369.134,-38.6216,-485)
35;182;7.11067e-06;66.2311;(-369.329,-114.974,-493.736)
36;148;7.12025e-06;33.5394;(180.349,382.615,-485)
