1;167;7.13431e-06;7.29564;(164.078,215.968,-485)
2;192;7.01932e-06;19.9855;(333.429,143.101,-485)
3;191;7.01932e-06;20.0166;(328.908,141.032,-489.41)
4;54;7.0672e-06;10.2373;(-105.235,-362.938,493.568)
5;166;7.0966e-06;16.2818;(86.8966,204.725,-485)
6;239;7.00446e-06;65.7406;(184.619,-269.753,-482.194)
7;171;7.00446e-06;86.774;(-369.6,-93.8855,-485)
8;158;7.04781e-06;24.3499;(286.39,313.718,-485)
9;158;7.04781e-06;24.4946;(270.153,295.741,-499.363)
10;219;7.09435e-06;25.2969;(-24.5861,-201.212,-485)
11;209;7.09435e-06;25.325;(-22.9168,-196.677,-488.549)
12;177;7.12576e-06;52.164;(85.9242,116.698,-485)
13;175;7.13401e-06;5.59572;(-44.8278,46.5599,-485)
14;175;7.06249e-06;143.803;(-63.3622,33.6599,-485)
15;187;7.06249e-06;143.976;(-33.5433,18.0682,-484.173)
16;199;7.06249e-06;144.398;(40.9544,-17.9644,-482.157)
17;211;7.06249e-06;144.833;(115.997,-60.906,-480.021)
18;199;7.06249e-06;176.651;(60.5922,-32.3023,-485)
19;186;7.10987e-06;10.9714;(-53.5647,-62.172,-485)
20;186;7.10987e-06;11.093;(-38.5079,-44.6958,-490.256)
21;186;7.10987e-06;11.224;(-37.365,-19.8423,-495.925)
22;137;7.00426e-06;15.9335;(1.74897,335.934,-498.058)
23;185;7.10053e-06;26.9252;(-182.863,-46.2735,-495.55)
24;164;7.096e-06;51.9174;(-87.0793,114.009,-485)
25;164;7.096e-06;52.0385;(-72.9943,95.5683,-482.583)
26;165;7.096e-06;87.7927;(-3.67173,166.208,-485)
27;136;7.04873e-06;15.662;(-103.831,329.506,-485)
28;144;7.04873e-06;15.8696;(-91.5698,291.273,-493.715)
29;169;7.07256e-06;44.9626;(312.352,270.077,-485)
30;218;7.11177e-06;13.4241;(-87.8589,-234.655,-499.58)
31;182;7.05472e-06;104.994;(-370.635,-139.782,-485)
32;149;7.01612e-06;9.17908;(-436.584,83.4801,-486.937)
33;197;7.09048e-06;47.3622;(-69.5882,-114.119,-485)
34;198;7.11261e-06;27.3138;(13.2361,-92.5851,-485)
35;141;7.02709e-06;76.2859;(-339.496,170.925,-485)
36;211;7.02709e-06;114.063;(161.57,-81.5235,-484.216)
37;164;7.02709e-06;142.111;(-89.0054,129.825,-485)
38;164;7.02709e-06;142.242;(-81.7258,153.075,-492.572)
39;194;7.09382e-06;70.403;(-316.542,-192.853,-485)
40;187;7.12892e-06;16.7822;(25.4862,23.0015,-485)
41;188;7.12892e-06;16.8506;(35.8501,32.3551,-488.572)
42;197;7.02291e-06;23.4208;(-70.7137,-96.3585,-485)
43;158;7.11101e-06;34.7194;(266.345,359.798,-485)
44;149;7.05512e-06;38.2448;(-414.074,19.8842,-485)
45;164;7.09969e-06;26.7907;(-70.8713,124.096,-485)
46;210;7.09969e-06;60.0118;(84.7177,-123.872,-485)
47;158;7.1127e-06;72.331;(235.303,363.501,-480.475)
48;217;7.05377e-06;26.1716;(-142.745,-295.006,-485)
49;218;7.05377e-06;26.2355;(-137.714,-288.483,-495.75)
50;130;7.07529e-06;33.2263;(-64.3535,382.752,-485.77)
51;186;7.02181e-06;33.596;(-39.7149,-13.8135,-484.471)
52;200;7.02181e-06;52.2026;(152.251,-11.4202,-485)
53;136;7.05683e-06;10.8912;(-60.4108,349.93,-489.142)
54;165;7.06186e-06;49.9051;(4.08781,191.889,-485)
55;155;7.06186e-06;49.9949;(5.67075,209.779,-492.281)
56;226;7.07079e-06;78.2964;(-164.465,-355.843,-485)
57;217;7.07079e-06;78.4492;(-151.95,-325.859,-482.898)
58;207;7.07079e-06;79.0473;(-146.023,-201.843,-485)
59;196;7.07079e-06;79.1617;(-147.675,-177.144,-483.282)
60;127;7.08959e-06;30.5669;(-299.721,294.125,-485)
61;134;7.08959e-06;30.6914;(-281.394,277.352,-492.294)
62;153;7.04782e-06;36.8399;(-118.449,175.644,-485)
63;156;7.13799e-06;36.3986;(90.9026,281.002,-485)
64;199;7.02848e-06;28.0168;(92.877,-31.5687,-485)
65;200;7.02848e-06;28.0933;(102.673,-33.8058,-497.098)
66;186;7.10098e-06;13.1385;(-59.5262,-9.19634,-485)
67;203;7.02432e-06;28.1936;(345.172,97.112,-485)
68;231;7.10547e-06;55.0502;(208.101,-202.777,-485)
69;231;7.10547e-06;55.0968;(214.217,-208.737,-488.062)
70;231;7.10547e-06;55.2375;(216.997,-234.369,-497.309)
71;240;7.13825e-06;47.4076;(238.652,-309.893,-485)
72;246;7.13825e-06;47.4605;(245.226,-317.353,-489.988)
73;183;7.11017e-06;24.5088;(-306.365,-120.338,-485)
74;213;7.00929e-06;6.08554;(284.129,-52.0526,-485)
75;226;7.00701e-06;16.3378;(-170.578,-350.378,-485)
76;143;7.0636e-06;7.60497;(-163.38,207.427,-485)
77;188;7.111e-06;32.5268;(75.7518,30.7518,-485)
78;164;7.03338e-06;38.9657;(-17.2498,128.059,-485)
79;167;7.12425e-06;74.758;(167.051,196.64,-485)
80;150;7.05677e-06;46.6412;(-347.071,115.096,-485)
81;215;7.05677e-06;82.6938;(453.633,3.68987,-485)
82;214;7.05677e-06;83.0437;(386.392,-0.222118,-499.624)
83;183;7.12112e-06;15.515;(-296.923,-158.09,-485)
